profile,basis,b_angstrom,temperature,removal_steps,radius,intact,removed,mismatched_return,correct_return,causal_margin,causal_pass,mismatch_overlap
6-31g_b0.9,6-31g,0.9,0.0005,40,0.15,0.995625,0.18125000000000002,0.0025,0.9375,0.75625,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.0005,40,0.25,1.0,0.288125,0.260625,0.9375,0.649375,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.0005,40,0.35,1.0,0.3875,0.71875,0.9375,0.21875,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.0005,40,0.45,1.0,0.494375,0.765625,0.9375,0.171875,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.0005,40,0.55,1.0,0.6000000000000001,0.765625,0.9375,0.171875,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.001,10,0.15,0.953125,0.18125000000000002,0.023125,0.94875,0.7675,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.001,10,0.25,0.9975,0.288125,0.32625000000000004,0.996875,0.6706249999999999,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.001,10,0.35,0.999375,0.3875,0.7918749999999999,0.999375,0.20750000000000013,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.001,10,0.45,1.0,0.494375,0.956875,1.0,0.04312499999999997,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.001,10,0.55,1.0,0.6000000000000001,0.98125,1.0,0.018750000000000044,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.001,20,0.15,0.953125,0.18125000000000002,0.021875000000000002,0.9199999999999999,0.7387499999999999,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.001,20,0.25,0.9975,0.288125,0.29937500000000006,0.968125,0.66875,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.001,20,0.35,0.999375,0.3875,0.714375,0.96875,0.254375,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.001,20,0.45,1.0,0.494375,0.84375,0.96875,0.125,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.001,20,0.55,1.0,0.6000000000000001,0.85875,0.96875,0.10999999999999999,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.001,40,0.15,0.953125,0.18125000000000002,0.036875000000000005,0.8875,0.7062499999999999,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.001,40,0.25,0.9975,0.288125,0.3125,0.93625,0.62375,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.001,40,0.35,0.999375,0.3875,0.660625,0.9375,0.276875,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.001,40,0.45,1.0,0.494375,0.76125,0.9375,0.17625000000000002,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.001,40,0.55,1.0,0.6000000000000001,0.765625,0.9375,0.171875,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.002,10,0.15,0.803125,0.18125000000000002,0.084375,0.815,0.621875,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.002,10,0.25,0.96,0.288125,0.37625000000000003,0.963125,0.58375,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.002,10,0.35,0.9824999999999999,0.3875,0.7168749999999999,0.985,0.265625,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.002,10,0.45,0.995,0.494375,0.8899999999999999,0.995625,0.1050000000000001,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.002,10,0.55,0.999375,0.6000000000000001,0.959375,0.999375,0.040000000000000036,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.002,20,0.15,0.803125,0.18125000000000002,0.083125,0.8062499999999999,0.621875,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.002,20,0.25,0.96,0.288125,0.34875,0.940625,0.591875,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.002,20,0.35,0.9824999999999999,0.3875,0.6587500000000001,0.9606250000000001,0.301875,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.002,20,0.45,0.995,0.494375,0.815625,0.96875,0.15312499999999996,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.002,20,0.55,0.999375,0.6000000000000001,0.864375,0.96875,0.104375,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.002,40,0.15,0.803125,0.18125000000000002,0.090625,0.7662500000000001,0.5850000000000001,True,0.20668485557767086
6-31g_b0.9,6-31g,0.9,0.002,40,0.25,0.96,0.288125,0.3325,0.919375,0.586875,True,0.20668485557767086
